Category,Collector,Name,JSON Path,Unit,Type,Description,Source,Link,Notes
Static,vm,VmNetnetworkInterfaces*name,Vm.Net.networkInterfaces[].name,string,Gauge,"Network interface name (e.g., eth0)",/sys/class/net/* → directory name,https://www.kernel.org/doc/Documentation/ABI/testing/sysfs-class-net,
Static,vm,VmNetnetworkInterfaces*speed,Vm.Net.networkInterfaces[].speed,Mbps,Gauge,Network interface speed,/sys/class/net/*/speed,https://www.kernel.org/doc/Documentation/ABI/testing/sysfs-class-net,
Dynamic,container,ContainerCpuTime,Container.CpuTime,nanoseconds (v1) / microseconds (v2),Counter,Total CPU time consumed by all tasks in this cgroup (including tasks lower in the hierarchy). V1: nanoseconds from cpuacct.usage. V2: microseconds from cpu.stat usage_usec.,v1: cpuacct.usage; v2: cpu.stat usage_usec,https://docs.kernel.org/admin-guide/cgroup-v1/cpuacct.html | https://docs.kernel.org/admin-guide/cgroup-v2.html#cpu-interface-files,
Dynamic,container,ContainerCpuTimeKernelMode,Container.CpuTimeKernelMode,centiseconds (v1) / microseconds (v2),Counter,CPU time consumed by tasks in kernel mode in this cgroup. V1: centiseconds from cpuacct.stat. V2: microseconds from cpu.stat system_usec.,v1: cpuacct.stat; v2: cpu.stat system_usec,https://docs.kernel.org/admin-guide/cgroup-v1/cpuacct.html | https://docs.kernel.org/admin-guide/cgroup-v2.html#cpu-interface-files,
Dynamic,container,ContainerCpuTimeUserMode,Container.CpuTimeUserMode,centiseconds (v1) / microseconds (v2),Counter,CPU time consumed by tasks in user mode in this cgroup. V1: centiseconds from cpuacct.stat. V2: microseconds from cpu.stat user_usec.,v1: cpuacct.stat; v2: cpu.stat user_usec,https://docs.kernel.org/admin-guide/cgroup-v1/cpuacct.html | https://docs.kernel.org/admin-guide/cgroup-v2.html#cpu-interface-files,
Dynamic,container,ContainerDiskReadBytes,Container.DiskReadBytes,bytes,Counter,Number of bytes transferred from specific devices by a cgroup in bytes,v1: blkio.throttle.io_service_bytes; v2: io.stat,https://docs.kernel.org/admin-guide/cgroup-v1/blkio-controller.html | https://docs.kernel.org/admin-guide/cgroup-v2.html#io-interface-files,
Dynamic,container,ContainerDiskSectorIO,Container.DiskSectorIO,sectors,Counter,Number of sectors transferred to or from specific devices by a cgroup. Only collected in cgroups v1; zero in v2.,v1: blkio.sectors,https://docs.kernel.org/admin-guide/cgroup-v1/blkio-controller.html,
Dynamic,container,ContainerDiskWriteBytes,Container.DiskWriteBytes,bytes,Counter,Number of bytes transferred to specific devices by a cgroup in bytes,v1: blkio.throttle.io_service_bytes; v2: io.stat,https://docs.kernel.org/admin-guide/cgroup-v1/blkio-controller.html | https://docs.kernel.org/admin-guide/cgroup-v2.html#io-interface-files,
Dynamic,container,ContainerMajorPgFault,Container.MajorPgFault,faults,Counter,Major page faults in the cgroup,v2: memory.stat → pgmajfault,https://docs.kernel.org/admin-guide/cgroup-v1/memory.html | https://docs.kernel.org/admin-guide/cgroup-v2.html#memory-interface-files,
Dynamic,container,ContainerMemoryMaxUsed,Container.MemoryMaxUsed,bytes,Gauge,Maximum memory used by processes in the cgroup in bytes,v1: memory.max_usage_in_bytes; v2: memory.peak,https://docs.kernel.org/admin-guide/cgroup-v1/memory.html | https://docs.kernel.org/admin-guide/cgroup-v2.html#memory-interface-files,
